हामी नेपाल आमालाई एशियाको स्वीट्जरल्याण्ड तथा दोलखालाई नेपालको स्वीट्जरल्याण्ड भन्न गौरव गछौँ नाक ठाडो पार्छौ तर आज नेपाललाई यस्ता विभिन्न उपनामद्वारा प्रशस्ती गायन गर्नुभन्दा पनि तिनलाई चिनेर भोलिको सुन्दर शान्त र समृद्ध नेपाल निर्माणका लागि व्यावहारिकरूपमा चरितार्थ गर्न सक्नु नै सान्दर्भिक र व्यावहारिक उपलब्धि हुनेछ।	1
अल्पमत र बहुमतको राजनीति आयोगमा पनि देखियो।	-1
राज्य पुनःसंरचना आयोगको बहुमतले जातीय पहिचानमा आधारित ११ प्रदेशका लागि सिफारिस गर्योष।	0
यसैगरी अल्पमतले सामर्थ्यमा आधारित ६ प्रदेशको प्रस्ताव गरेको छ।	1
बहुमत पक्षले स्थानीय निकायलाई प्रदेश मातहत राख्नेगरी दुई तहको सरकार सिफारिस गरेको छ भने अल्पमत पक्षले तीन तहको।	0
संघीयताकै विवाद बढ्दै गएपछि संविधान सभा विघटन हुन पुग्यो।	-1
नेपालमा संघीयता स्थानीय निकायसम्म अधिकार पुर्यािउनका लागि चाहिएको हो।	1
त्यसपछि जातीय मुक्ति वर्गीय समानता र अरु थप तर्क आउन सक्छन्।	0
तर मुलुक संघीयतामा जाँदैमा स्थानीय निकायमा अधिकार पुग्ने होइन।	-1
स्थानीय स्वायत्त शासन ऐन २०५५ लागु भएर पनि राजधानी र सदरमुकाम केन्द्रित सोचाइ र व्यवहार परिवर्तन हुन नसक्दा संघीयताको आवश्यकता देखिएको हो।	-1
कृषि सेवा केन्द्रका पियनसम्म केन्द्रबाट नियुक्त गर्ने र स्थानीय निकायको अधिकारमाथि अतिक्रमण गर्नेहरुले नै संघीयतालाई थप चर्काएका हुन्।	-1
राजनीतिक वृत्तमा अहिले संघीयताको मुद्दा जुनरूपमा उचालिएको छ यसरूपमा हाम्रा स्थानीय निकायको अधिकार क्षेत्र के/कति हुने भन्नेबारे छलफल भएको पाइँदैन।	-1
अहिले काठमाडौले उपयोग गरिरहेको अधिकार संघीय राजधानीले गर्नेगरी मात्र संघीयतामा जाँदा न मुलुक न त स्थानीय नागरिक कसैलाई पनि फाइदा छैन।	-1
यदि यसो भयो भने त्यसले झन् ठूलो भाँडभैलो ल्याउनेछ जुन सितिमिति सम्हाल्न गाह्रो पर्नेछ।	-1
मुलुक संघीय होस् वा एकात्मक दुवै अवस्थामा विकेन्द्रीकरण र निक्षेपणका मुद्दा यथावत् रहन्छन्।	1
संघीय व्यवस्था एक तहको विकेन्द्रीकरण मात्र हो।	1
संघीयतामा जाँदा प्रदेशमात्र बलियो भयो भने त्यसले तल्लो तहको जनजीविकामा खासै प्रभाव पार्न सक्दैन।	-1
स्थानीय तहसम्म अधिकार पुगेन भने भोलिका दिनमा अहिलेको काठमाडौं जस्तै हुनेछन् संघीय राजधानी।	-1
अहिले काठमाडांैले उपयोग गर्दै आएको अधिकार संघीय सरकारको राजधानीले गर्नेबाहेक अन्य फरकपना नआउन सक्छ।	-1
संघीय व्यवस्थामा प्रदेशभन्दा तलका स्थानीय सरकारमा अधिकार नरहन पनि सक्छ।	-1
एउटा रोचक तथ्य के छ भने संघीय व्यवस्था भएको छिमेकी मुलुक भारतका जिल्ला पञ्चायत तालुक पञ्चायत र ग्राम पञ्चायतमा भन्दा नेपालका जिविस गाविस तथा नगरपालिकामा बढी अधिकार छ।	1
भारतको कर्नाटक राज्यका ग्राम पञ्चायतले एक हजारभन्दा बढी खर्च गर्नुपर्दा जिल्ला पञ्चायतको स्वीकृति लिनुपर्ने व्यवस्था छ।	1
यसले संघीय शासन व्यवस्थाभित्र पनि स्थानीय निकायलाई कुन रूपमा अधिकारविहीन बनाएर राख्न सक्छन् भन्ने तथ्य उजागर गरेको छ।	1
सो राज्यमा स्थानीय निकायका प्रशासकीय प्रमुख राज्य सरकारले नै पठाउने गर्छ।	1
यसले संघीयतामा जाँदैमा स्थानीय तहमा अधिकार जान्छ भन्ने विचारलाई खण्डन गर्छ।	-1
बरु एकात्मक शासन व्यवस्था भएर पनि नेपालका गाविसलाई निश्चित आर्थिक अधिकार दिइएको छ।	1
गाविसमा पुग्ने लाखौं अनुदान रकम गाउँ परिषद्ले स्वविवेकले खर्च गर्न सक्छन्।	1
स्थानीयस्तरमा राजश्व उठाउने अधिकारसमेत गाविस नगरपालिकाले पाएको छ।	1
मुलुक संघीयतामा जाँदा कार्यकारी अधिकारको परिचालन गर्ने सामर्थ्य स्थानीय निकायलाई दिइनुपर्छ।	1
संघीय व्यवस्था हुनेबित्तिकै स्थानीय निकायले कार्यकारी अधिकार पाउँछन् भन्ने होइन।	-1
संघीय व्यवस्था भएका भारत पाकिस्तान मलेसिया मेक्सिको अष्ट्रेलिया भन्दा संघीयता नभएका केन्या क्रोसिया फिलिपिन्स जापानका स्थानीय निकायले निकै बढी अधिकार पाएका छन्।	1
संघीय व्यवस्था भएका अमेरिका स्वीट्जरल्याण्डभन्दा एकात्मक व्यवस्था भएका डेनमार्क स्वेडेन फिनल्याण्डमा अधिकार विकेन्द्रीकरणमा कुनै कमी छैन।	1
कुनै क्षेत्रमा अझ बढी अधिकार दिएको पाइन्छ।	1
त्यसैले यदि अहिलेको संघीयताको मुद्दा स्थानीय निकायलाई सशक्त र अधिकार सम्पन्न बनाउनका लागि हो भने स्ांघीयतामात्र होइन हाम्रा स्थानीय निकायको अधिकारबारे पनि अहिले नै छलफल जरुरी छ।	1
मुलुक संघीय होस् वा एकात्मक विकेन्द्रीकरणबारे व्यापक छलफल बहस र आश्वश्यक पर्दा आन्दोलन भइरहन्छन्।	-1
त्यसैले परराष्ट्र मौद्रिक नीति र रक्षाबाहेकका सबै अधिकार स्थानीय निकायलाई उपयोग गर्न दिनुपर्छ।	1
संघीयतामा जाँदा गाउँ र नगरपालिकाको आकारमा छलफल त गर्न सकिएला तर दक्ष बनाउने कुरामा सबैको एकमत हुनुपर्छ।	1
गाउँ तथा नगरपालिकामा अधिकृत स्तरका कर्मचारी लेखापाल इन्जिनियर तथा अन्य विषयगत कर्मचारीको व्यवस्था हुनुपर्छ।	1
कृषि शिक्षा स्वास्थ्य पशु वन मालपोत सिचाई जस्ता कार्यालय गाउँ वा नगरपालिकाको मातहतमा राख्ने व्यवस्था हुनुपर्छ।	1
सडक निर्माणको अधिकार स्थानीय निकायमा हुनुपर्छ।	1
स्थानीय जनशक्तिले धान्न सक्ने निर्माण कार्य गर्ने अधिकार दिनुपर्छ।	1
माध्यमिक तहसम्मका विद्यालय सञ्चालन गर्ने अधिकार गाविस तहमै दिइनुपर्छ।	1
यस्ता निकायमा कर्मचारी नियुक्त गर्ने उनीहरुको वृत्ति विकास गर्ने तथा अख्तियार दुरुपयोग गरेमा दण्ड तथा कारबाही गर्ने अधिकारसमेत स्थानीय निकायमा दिनुपर्छ।	1
यसैगरी स्थानीयस्तरमा राजश्व उठाउने करका आधार र दर निर्धाण गर्ने र त्यसको परिचालन गर्ने अधिकार दिइनुपर्छ।	1
यसका साथै राम्रो काम गर्नेलाई अनुदान बढाउने र राम्रो गर्न नसकेमा अनुदान कटौती गर्ने व्यवस्था गर्नुपर्छ।	1
त्यसैले नेपालको सन्दर्भमा वर्षेनी चलाइने यस्तो अभियानको सान्दर्भिकता कति?	q
त्यसको प्रतिफल कति?	q
भन्ने प्रश्न सँगै उठाएका छन् यी घटनाले।	1
अभियान चलिरहेकै बेला भएका गम्भीर हिंसाका घटनामा संलग्न दोषीलाई त कारबाहीको दायरामा ल्याउन पहल हुँदैन भने अरु बेला के होला?	-1
यो पनि अर्को एउटा संवेदनशील पक्ष हो।	-1
न त पीडितकै पीडा न्युनीकरणका लागि प्रयास भएका छन्।	-1
उदाहरण खोज्न टाढा जानै पर्दैन।	0
बर्दिया सदरमुकाम गुलरिया नगरपालिका वार्ड नम्बर ८ बस्ने १६ वर्षीया शिवा हासमी यसैको ज्वलन्त उदाहरण हुन।	0
शरीरमा पेट्रोल खन्याएर जीउँदै जलाइएकी र यही अवधिमा मृत्युवरण गरेकी शिवा महिलामाथि भइरहेका र हुनसक्ने हिंसाको मापन गर्न काफी छिन्।	-1
